[2026-03-20T20:07:32.797Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-13
[2026-03-20T20:07:32.797Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-14
[2026-03-20T20:07:32.797Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-15
[2026-03-20T20:07:32.797Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-16
[2026-03-20T20:07:32.797Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-17
[2026-03-20T20:07:32.798Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-18
[2026-03-20T20:07:32.798Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-19
[2026-03-20T20:07:32.798Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (578.219kt, NaNs) on nexus-20
[2026-03-20T20:07:32.798Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (286.298kt, NaNs) on nexus-21
[2026-03-20T20:07:32.798Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (257.047kt, NaNs) on nexus-21
[2026-03-20T20:07:32.798Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (497.812kt, NaNs) on nexus-22
[2026-03-20T20:07:32.798Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-23
[2026-03-20T20:07:32.798Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (567.457kt, NaNs) on nexus-24
[2026-03-20T20:08:02.800Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (1.009mt, NaNs) on home
[2026-03-20T20:08:02.800Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-0
[2026-03-20T20:08:02.800Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-1
[2026-03-20T20:08:02.800Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-2
[2026-03-20T20:08:02.800Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-3
[2026-03-20T20:08:02.800Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-4
[2026-03-20T20:08:02.800Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-5
