[2026-03-20T07:40:03.745Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:03.947Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:04.150Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:04.352Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:04.597Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:04.799Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:05.002Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:05.205Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:05.408Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:05.611Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:05.815Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:06.018Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:06.220Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:06.423Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:06.627Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:06.831Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:07.034Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
